Game,Date,Winning team,Score,Losing team,Venue,City,Attendance,Referee
XXXIII,"January 31, 1999",Denver Broncos,34–19,Atlanta Falcons,Pro Player Stadium (3)[sb 12],"Miami, Florida","74,803",Bernie Kukar
XXXIV,"January 30, 2000",St. Louis Rams,23–16,Tennessee Titans,Georgia Dome (2),"Atlanta, Georgia","72,625",Bob McElwee
XXXV,"January 28, 2001",Baltimore Ravens,34–7,New York Giants,Raymond James Stadium,"Tampa, Florida","71,921",Gerry Austin
XXXVI,"February 3, 2002",New England Patriots,20–17,St. Louis Rams,Louisiana Superdome (6)[sb 6],"New Orleans, Louisiana","72,922",Bernie Kukar
XXXVII,"January 26, 2003",Tampa Bay Buccaneers,48–21,Oakland Raiders,Qualcomm Stadium (3)[sb 11],"San Diego, California","67,603",Bill Carollo
XXXVIII,"February 1, 2004",New England Patriots,32–29,Carolina Panthers,Reliant Stadium[sb 14],"Houston, Texas","71,525",Ed Hochuli
XXXIX,"February 6, 2005",New England Patriots,24–21,Philadelphia Eagles,Alltel Stadium,"Jacksonville, Florida","78,125",Terry McAulay
XL,"February 5, 2006",Pittsburgh Steelers,21–10,Seattle Seahawks,Ford Field,"Detroit, Michigan","68,206",Bill Leavy
XLI,"February 4, 2007",Indianapolis Colts,29–17,Chicago Bears,Dolphin Stadium (4)[sb 12],"Miami Gardens, Florida","74,512",Tony Corrente
XLII,"February 3, 2008",New York Giants,17–14,New England Patriots,University of Phoenix Stadium[sb 15],"Glendale, Arizona","71,101",Mike Carey
XLIII,"February 1, 2009",Pittsburgh Steelers,27–23,Arizona Cardinals,Raymond James Stadium (2),"Tampa, Florida","70,774",Terry McAulay
XLIV,"February 7, 2010",New Orleans Saints,31–17,Indianapolis Colts,Sun Life Stadium (5)[sb 12],"Miami Gardens, Florida","74,059",Scott Green
XLV,"February 6, 2011",Green Bay Packers,31–25,Pittsburgh Steelers,Cowboys Stadium,"Arlington, Texas","103,219",Walt Anderson
XLVI,"February 5, 2012",New York Giants,21–17,New England Patriots,Lucas Oil Stadium,"Indianapolis, Indiana","68,658",John Parry
XLVII,"February 3, 2013",Baltimore Ravens,34–31,San Francisco 49ers,Mercedes-Benz Superdome (7)[sb 6],"New Orleans, Louisiana","71,024",Jerome Boger
XLVIII,"February 2, 2014",Seattle Seahawks,43–8,Denver Broncos,MetLife Stadium,"East Rutherford, New Jersey","82,529",Terry McAulay
XLIX,"February 1, 2015",New England Patriots,28–24,Seattle Seahawks,University of Phoenix Stadium (2)[sb 15],"Glendale, Arizona","70,288",Bill Vinovich
L,"February 7, 2016",Denver Broncos,24–10,Carolina Panthers,Levi's Stadium,"Santa Clara, California","71,088",Clete Blakeman
LI,"February 5, 2017",New England Patriots,34–28,Atlanta Falcons,NRG Stadium (2)[sb 14],"Houston, Texas","70,807",Carl Cheffers
LII,"February 4, 2018",Philadelphia Eagles,41–33,New England Patriots,U.S. Bank Stadium,"Minneapolis, Minnesota","67,612",Gene Steratore
LIII,"February 3, 2019",New England Patriots,13–3,Los Angeles Rams,Mercedes-Benz Stadium,"Atlanta, Georgia","70,081",John Parry
LIV,"February 2, 2020",Kansas City Chiefs,31–20,San Francisco 49ers,Hard Rock Stadium (6)[sb 12],"Miami Gardens, Florida","62,417",Bill Vinovich
LV,"February 7, 2021",Tampa Bay Buccaneers,31–9,Kansas City Chiefs,Raymond James Stadium (3),"Tampa, Florida","24,835",Carl Cheffers
LVI,"February 13, 2022",Los Angeles Rams,23–20,Cincinnati Bengals,SoFi Stadium,"Inglewood, California","70,048",Ron Torbert
LVII,"February 12, 2023",Kansas City Chiefs,38–35,Philadelphia Eagles,State Farm Stadium (3)[sb 15],"Glendale, Arizona","67,827",Carl Cheffers
VIII,"February 11, 2024",Kansas City Chiefs,25–22,San Francisco 49ers,Allegiant Stadium,"Paradise, Nevada", "61,629",Bill Vinovich
LIX,"February 9, 2025",Philadelphia Eagles,40–22,Kansas City Chiefs,Caesars Superdome,"New Orleans, Louisiana", "65,719",Ron Torbert	
